id,word,year,mean_weighted_sentiment
26395,πλευρα,-450.0,-0.9902500000000001
26395,πλευρα,-415.0,-0.9864
26395,πλευρα,-353.0,-0.9535
26395,πλευρα,-300.0,-0.9259
26395,πλευρα,-266.0,-0.97885
26395,πλευρα,-249.0,-0.92275
26395,πλευρα,-155.0,-0.9913
26395,πλευρα,-50.0,-0.9574200000000002
26395,πλευρα,127.0,-0.97155
26395,πλευρα,147.0,-0.93225
26395,πλευρα,150.0,-0.8823068965517241
26395,πλευρα,172.0,-0.9797
26395,πλευρα,249.0,-0.890474074074074
26395,πλευρα,320.0,-0.803535294117647
26395,πλευρα,448.0,-0.9238333333333334
26395,πλευρα,950.0,-0.9850000000000001
